,SOLUSDT,LTCUSDT,Spread,Zscore
272,137.066,80.04,-4.6048000000000116,-0.038080687453467946
273,137.50235477,79.95,-4.0091452300000014,0.30884595190915426
274,136.17316517,79.9,-5.2498348299999975,-0.14008057313411476
275,137.308,80.03777287,-4.3588579798999945,0.347465522797771
276,136.916,79.93242496,-4.564392179200013,0.3072040680520034
277,136.84386691,79.73049736,-4.279113417199994,0.52214374887508
278,137.34860376,79.44198176,-3.2637039552000147,1.1161126185789727
279,141.378,79.73645847,0.24446850809997045,2.5959771520334654
280,139.47550052,79.11066633,-0.550378884100013,1.9843888208444243
281,140.34765634,78.92,0.6592563399999847,2.152134457128327
282,139.55946768,78.61307246,0.41432942580001964,1.779182435700324
283,138.67221563,78.5,-0.27278436999998235,1.3999541394265749
284,138.9750618,78.71,-0.34163820000000555,1.247451200073453
285,136.59482967,78.16110669,-1.7503291712999953,0.7136382073315839
286,134.246,77.52,-2.9643999999999835,0.25899351300995344
287,132.06802979,77.4208197,-4.966821078999999,-0.5359820354934043
288,133.643,78.06,-4.523200000000003,-0.4393875370041253
289,131.506,77.82051029,-6.236303213300005,-1.1563359818098857
290,128.7093195,77.36,-8.217880500000007,-1.7986997865968233
291,128.25450544,77.24763096,-8.473801359199996,-1.8099005634631968
292,132.398,78.99379144,-7.421010848799995,-1.369251477614344
293,135.558,79.73,-5.564100000000025,-0.6885611460604316
294,134.54878773,79.65,-6.43171227000002,-0.9313986519879542
295,133.34443994,79.1614044,-6.771245847999978,-1.0030337095353012
296,135.109,80.05048568,-6.58035965359997,-0.885223122434443
297,134.519,80.6968975,-8.31450857500002,-1.333385857185893
298,131.79905339,80.15,-10.066446610000014,-1.6625034014542068
299,132.14961167,79.90302143,-9.278736261099993,-1.2928196748397243
300,133.409,80.20840725,-8.5598808325,-0.9995991088807816
301,134.02,80.55,-8.553499999999985,-0.9098971041838351
302,135.53280685,80.31707578,-6.628417280600019,-0.269112290712435
303,134.29328357,80.12040031,-7.519824978700001,-0.4830800756612059
304,133.048,79.8,-8.198000000000008,-0.665266911869652
305,130.995,79.32445231,-9.4092805887,-1.1488952441259621
306,129.37927863,79.17,-10.75162137000001,-1.7524460023114907
307,130.107,80.57428477,-12.509484042899999,-2.4005322950565815
308,130.90290844,82.08,-14.378691559999993,-2.649402917469691
309,133.15153665,81.83436859,-11.695295754299991,-1.3645551495737425
310,135.75688511,80.92428658,-7.479102136599977,0.561332890863765
311,133.243,80.57,-9.365899999999982,-0.27746023254361807
312,134.46,81.14739588,-9.170890707599995,-0.17297482523652238
313,138.75500912,81.75,-5.94249087999998,1.232681321213374
314,138.94009581,81.58,-5.456504190000004,1.441027189410046
315,139.303,81.23,-4.474100000000021,1.7306212163123886
316,136.86109128,80.32,-5.305308719999971,1.3128583582135882
317,138.811,80.35046527,-3.4093235279,1.857403354367587
318,140.25729179,80.66384273,-2.5177098420999755,1.882377075986019
319,140.205,81.01,-3.182700000000011,1.4746025897657424
320,140.58950749,81.1103117,-2.9757442190000063,1.3789317283349702
321,142.7913502,81.07577431,-0.7127703287000031,1.7881629919801414
322,141.96820411,80.73750797,-0.9371849969000152,1.528012443998202
323,138.14,80.08119989,-3.6037238053000067,0.7781837836129791
324,132.242,78.0,-5.818000000000012,0.18587191376917236
