,OCEANUSDT,AGIXUSDT,Spread,Zscore
219,0.8829,0.85874598,-0.0016083594000000367,-0.06793300391658266
220,0.88105292,0.8541,0.0013299199999999844,0.5653484708073696
221,0.8817,0.8575,-0.0015249999999999986,-0.09714172617788171
222,0.86526966,0.8459,-0.006007339999999917,-1.0185451440047104
223,0.8585,0.8419,-0.008656999999999915,-1.4443894731040694
224,0.86396352,0.84300314,-0.004329714200000057,-0.44460670900525356
225,0.88090296,0.85450326,0.0007646021999999641,0.6477654918256894
226,0.866,0.83530166,0.00563929019999998,1.5798590512203712
227,0.8663,0.8387,0.002438999999999969,0.8506329370887756
228,0.86691132,0.8379,0.0038743199999999867,1.0774036118264665
229,0.8604,0.8304163,0.005071211000000075,1.2406225977313277
230,0.8572,0.832,0.00024000000000001798,0.2786833678995356
231,0.8494,0.8204742,0.004311573999999929,1.0716045775595893
232,0.8377,0.80981141,0.0035942476999999418,0.897551102833582
233,0.8277,0.8065,-0.00299499999999997,-0.5352885192445367
234,0.82702935,0.80640239,-0.0035651117000000676,-0.8575250677182239
235,0.81664643,0.79625818,-0.003499495400000052,-0.7843026040003284
236,0.80556183,0.78165886,0.0004532042000000569,0.1624775719523568
237,0.81263109,0.78561793,0.003444622099999961,0.8608845818184795
238,0.8397,0.8165,-0.0012950000000000461,-0.34880972227644774
239,0.8617,0.8373,-0.0007190000000000252,-0.14957166637589142
240,0.8531,0.82491677,0.0034357268999999357,0.856326112417402
241,0.834415,0.80834558,0.0018190526000000373,0.4348699796237749
242,0.8473,0.82192374,0.0007185478000000245,0.12661212378452613
243,0.83971772,0.81667576,-0.0014583127999999723,-0.5209803273744875
244,0.83746634,0.80799459,0.0052319122999999745,1.3149934040245221
245,0.8365,0.8078,0.004466000000000081,0.994480015256486
246,0.8475,0.81734835,0.005631199500000017,1.256549799415946
247,0.8427,0.8125,0.005824999999999969,1.3114221100377252
248,0.8456,0.81761109,0.003460577300000045,0.5290886522865769
249,0.8405,0.8139,0.002183000000000046,0.14660369585578023
250,0.83460191,0.80855391,0.0017913826999998994,0.07247797288116431
251,0.8206,0.79667471,2.504869999997439e-05,-0.5147279628455147
252,0.81341034,0.7894491,0.0002777669999999288,-0.37303705034661344
253,0.81896451,0.80078658,-0.005845667400000032,-2.063446235393414
254,0.82538534,0.80485525,-0.0036155675000000276,-1.3581944504511918
255,0.82825034,0.81149291,-0.007587357300000042,-2.248946926892436
256,0.84731296,0.8244,-0.001819039999999994,-0.7210176834246521
257,0.83609715,0.8137,-0.0020138500000000947,-0.7320933628651842
258,0.8505,0.8269,-0.001206999999999958,-0.455506907144317
259,0.8709,0.84645046,-0.0009439737999999975,-0.3883287690652989
260,0.8685,0.8429,0.0003130000000000077,-0.05434776701150437
261,0.86447988,0.8482,-0.009166119999999944,-2.209449277851363
262,0.84399377,0.82951919,-0.010410995700000036,-2.092425574273134
263,0.8493,0.8387439,-0.014606216999999977,-2.3826197472850867
264,0.85904126,0.84900119,-0.015429965699999992,-2.11053328524096
265,0.86352583,0.8498,-0.011768169999999967,-1.3811647657327455
266,0.86934531,0.84685065,-0.0029108595000000292,0.0512715734735282
267,0.86977902,0.84435049,9.801529999997616e-05,0.6056032163439193
268,0.8639,0.8401,-0.001402999999999932,0.43780024546631735
269,0.84756218,0.8272502,-0.004505525999999982,-0.05451656573374661
270,0.8077,0.7907,-0.006720999999999977,-0.4064925696614858
271,0.80467793,0.79266633,-0.011768389900000065,-1.26565014225592
272,0.8313,0.8236,-0.017008000000000023,-1.959615955928704
273,0.84057246,0.82771781,-0.011976884300000101,-0.9615065419323152
274,0.82850858,0.81714199,-0.01314766969999992,-1.077214294807487
275,0.8753,0.8587,-0.009161000000000086,-0.33112154657228254
276,0.8635,0.8538,-0.015913999999999984,-1.382634800293608
277,0.8777,0.86786496,-0.016200908800000025,-1.29033375176795
278,0.8748,0.86693454,-0.018142576200000038,-1.442657082015461
279,0.87637477,0.8656,-0.015193230000000058,-0.8836484203139761
280,0.87797586,0.86898387,-0.017077526099999907,-1.095246544335035
281,0.88499753,0.87969071,-0.02108390129999993,-1.6336457960748747
282,0.87810662,0.87886757,-0.027126977100000116,-2.194308832346
283,0.87505791,0.87326808,-0.024408212400000018,-1.5778387164177765
284,0.88047502,0.8749,-0.020671980000000034,-0.9900313054395872
285,0.8778,0.8739,-0.02231700000000003,-1.1317414377441366
286,0.88791783,0.88179367,-0.020329650099999985,-0.803417717360082
287,0.87673663,0.8727,-0.022144370000000024,-0.9526638923927012
288,0.88554527,0.8811,-0.021987729999999983,-0.8753980499597723
289,0.87445588,0.8697,-0.02133512000000004,-0.7260146250394989
290,0.89004579,0.8796,-0.01594221000000018,0.322114564126422
291,0.87911626,0.8692,-0.016159739999999978,0.4175000439626804
292,0.87,0.8648,-0.020744000000000096,-0.5230174112689019
293,0.85902085,0.85697088,-0.023659156400000048,-1.09086418973342
294,0.8847,0.8804,-0.02211199999999991,-0.6705218116689257
295,0.8817,0.8814,-0.026142,-1.4748712221833913
296,0.8844,0.88414831,-0.02627275930000006,-1.5135299827448456
297,0.88794502,0.88833721,-0.02704230630000004,-1.5471513281973313
298,0.89317376,0.8900758,-0.02360431399999996,-0.5587655167813436
299,0.9026,0.89961529,-0.024003748699999994,-0.6013131926449399
300,0.91061757,0.91090474,-0.02761431219999999,-1.5123004899207988
301,0.9132,0.91109643,-0.025229322900000017,-0.7379255139508141
302,0.90890665,0.89981244,-0.017900163199999986,1.4216949716933542
303,0.902,0.8954,-0.020262000000000002,0.6486305478973847
304,0.9042,0.8945,-0.01713500000000001,1.4334678001950811
305,0.9065,0.89906743,-0.01953945290000003,0.7069162920094209
306,0.91307211,0.9099,-0.024124890000000065,-0.5935701785915575
307,0.91883527,0.9106,-0.019082730000000048,0.8296831987270545
308,0.9458,0.9434,-0.02590200000000009,-1.02798956047836
309,0.96641478,0.9523,-0.014454220000000073,1.8447016628714226
310,1.0047,0.97405815,0.0014201055000000462,3.4307037616919365
311,0.9957,0.9689,-0.002267000000000019,2.356597387397518
312,1.0198,0.9844,0.005867999999999984,2.640972159391521
313,1.03370188,1.00310762,0.0005010314000000182,1.7927462365584574
314,1.02279921,0.9919,0.0011422100000000324,1.627678366521595
315,1.02758436,0.9918,0.006030360000000012,1.7883185235091075
316,1.0177,0.9985,-0.01075500000000007,0.3396464810009655
317,1.0147,0.9929,-0.007987000000000188,0.5094149559962908
318,1.01264219,0.9946,-0.011795809999999962,0.12302325827126018
319,1.021,1.0052,-0.014356000000000257,-0.14774818254593314
320,1.02791783,0.99963097,-0.0017020691000000365,0.9146999969521133
321,1.03651434,1.00343386,0.002977464200000224,1.2323064032452151
322,1.02310696,0.9915,0.0018619599999998293,1.0337602724665753
323,1.0226762,0.9886,0.004418199999999928,1.1574068334203376
324,1.0129,0.9864,-0.0030920000000000947,0.38524407890906565
325,1.01845206,0.98784678,0.0009698765999999193,0.7059259541287681
326,1.016,0.9887,-0.0023610000000000575,0.3102687980109921
327,1.01991334,0.9945,-0.004421659999999994,0.0007264770884492372
328,1.027,0.99708214,5.395799999918793e-06,0.4380979161087493
329,1.02124124,0.98967296,0.0018780911999998207,0.6500077047943879
330,1.008,0.9761,0.0026170000000000915,0.7045211196703768
331,1.00083011,0.97491107,-0.0033282920999999632,-0.3039573081700953
332,1.01533863,0.9915348,-0.005942214000000057,-0.725259023385718
333,1.00136163,0.9714,0.0008196299999998491,0.5174437366542006
334,0.99798817,0.9748,-0.006055829999999984,-0.6721872178962803
335,1.0025,0.96891091,0.004521762699999932,1.178000897049929
336,0.99820693,0.9712,-0.002129069999999844,0.0811529958563663
337,1.01032621,0.9855,-0.004738790000000215,-0.48635209817288
338,1.01072904,0.97756853,0.003833454100000022,1.0987299544199196
339,1.01703233,0.9814594,0.006129147999999862,1.4661805220068584
340,1.0138,0.9805,0.0038849999999999163,1.0377975180583936
